Type,Name,Category,Comment,DataSource,Week Schedules Count,Week Schedules
Fraction,occClassRoom,Occupancy,No comments,SIA Merkblatt 2024,1,01/01/2006 00:00:00,12/31/2006 00:00:00,occClassRoom,occClassRoom,occClassRoom,occClassRoom,occClassRoom,occClassRoomWeekEnd,occClassRoomWeekEnd
Fraction,equipClassRoom,Equipment,No comments,SIA Merkblatt 2024,1,01/01/2006 00:00:00,12/31/2006 00:00:00,equipClassRoom,equipClassRoom,equipClassRoom,equipClassRoom,equipClassRoom,equipClassRoomWeekEnd,equipClassRoomWeekEnd
Fraction,lightsClassRoom,Lights,No comments,based on SIA Merkblatt 2024 Occ Schedule,1,01/01/2006 00:00:00,12/31/2006 00:00:00,lightsClassRoom,lightsClassRoom,lightsClassRoom,lightsClassRoom,lightsClassRoom,lightsClassRoomWeekEnd,lightsClassRoomWeekEnd
Fraction,occLibrary,Occupancy,No comments,SIA Merkblatt 2024,1,01/01/2006 00:00:00,12/31/2006 00:00:00,occLibrary,occLibrary,occLibrary,occLibrary,occLibrary,occLibrary,occLibrary
Fraction,equipLibrary,Equipment,No comments,SIA Merkblatt 2024,1,01/01/2006 00:00:00,12/31/2006 00:00:00,equipLibrary,equipLibrary,equipLibrary,equipLibrary,equipLibrary,equipLibrary,equipLibrary
Fraction,lightsLibrary,Lights,No comments,based on SIA Merkblatt 2024 Occ Schedule,1,01/01/2006 00:00:00,12/31/2006 00:00:00,lightsLibrary,lightsLibrary,lightsLibrary,lightsLibrary,lightsLibrary,lightsLibrary,lightsLibrary
Fraction,occLectureHall,Occupancy,No comments,SIA Merkblatt 2024,1,01/01/2006 00:00:00,12/31/2006 00:00:00,occLectureHall,occLectureHall,occLectureHall,occLectureHall,occLectureHall,occLectureHallWeekEnd,occLectureHallWeekEnd
Fraction,equipLectureHall,Equipment,No comments,SIA Merkblatt 2024,1,01/01/2006 00:00:00,12/31/2006 00:00:00,equipLectureHall,equipLectureHall,equipLectureHall,equipLectureHall,equipLectureHall,equipLectureHallWeekEnd,equipLectureHallWeekEnd
Fraction,lightsLectureHall,Lights,No comments,based on SIA Merkblatt 2024 Occ Schedule,1,01/01/2006 00:00:00,12/31/2006 00:00:00,lightsLectureHall,lightsLectureHall,lightsLectureHall,lightsLectureHall,lightsLectureHall,lightsLectureHallWeekEnd,lightsLectureHallWeekEnd
Fraction,occSuperMarket,Occupancy,No comments,SIA Merkblatt 2024,1,01/01/2006 00:00:00,12/31/2006 00:00:00,occSuperMarket,occSuperMarket,occSuperMarket,occSuperMarket,occSuperMarket,occSuperMarket,occSuperMarket
Fraction,equipSuperMarket,Equipment,No comments,SIA Merkblatt 2024,1,01/01/2006 00:00:00,12/31/2006 00:00:00,equipSuperMarket,equipSuperMarket,equipSuperMarket,equipSuperMarket,equipSuperMarket,equipSuperMarket,equipSuperMarket
Fraction,lightsSuperMarket,Lights,No comments,based on SIA Merkblatt 2024 Occ Schedule,1,01/01/2006 00:00:00,12/31/2006 00:00:00,lightsSuperMarket,lightsSuperMarket,lightsSuperMarket,lightsSuperMarket,lightsSuperMarket,lightsSuperMarket,lightsSuperMarket
Fraction,occShopping,Occupancy,No comments,SIA Merkblatt 2024,1,01/01/2006 00:00:00,12/31/2006 00:00:00,occShopping,occShopping,occShopping,occShopping,occShopping,occShopping,occShopping
Fraction,equipShopping,Equipment,No comments,SIA Merkblatt 2024,1,01/01/2006 00:00:00,12/31/2006 00:00:00,equipShopping,equipShopping,equipShopping,equipShopping,equipShopping,equipShopping,equipShopping
Fraction,lightsShopping,Lights,No comments,based on SIA Merkblatt 2024 Occ Schedule,1,01/01/2006 00:00:00,12/31/2006 00:00:00,lightsShopping,lightsShopping,lightsShopping,lightsShopping,lightsShopping,lightsShopping,lightsShopping
